Round,Player ID,Player Name,Position,Team ID,Team Name,Short Name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,yellow_cards,red_cards,bonus,penalties_saved,penalties_missed,saves,value
1,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,55
3,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
4,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,54
5,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,53
6,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,53
7,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,53
8,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,53
9,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,53
10,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
11,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
12,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
13,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
14,1,Mustafi,2,1,Arsenal,ARS,4,90,0,1,0,2,0,0,0,0,0,0,0,52
15,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
16,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
17,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
18,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
19,1,Mustafi,2,1,Arsenal,ARS,1,13,0,0,0,0,0,0,0,0,0,0,0,52
20,1,Mustafi,2,1,Arsenal,ARS,1,67,0,0,0,2,0,0,0,0,0,0,0,52
21,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
22,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,52
23,1,Mustafi,2,1,Arsenal,ARS,2,90,0,0,0,1,0,0,0,0,0,0,0,52
24,1,Mustafi,2,1,Arsenal,ARS,5,90,0,1,0,2,0,0,0,1,0,0,0,51
25,1,Mustafi,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,51
26,1,Mustafi,2,1,Arsenal,ARS,6,90,0,0,1,0,0,0,0,0,0,0,0,51
27,1,Mustafi,2,1,Arsenal,ARS,1,90,0,0,0,2,0,0,0,0,0,0,0,51
29,1,Mustafi,2,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,51
39,1,Mustafi,2,1,Arsenal,ARS,1,90,0,0,0,3,0,0,0,0,0,0,0,51
