Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,Özil,7.0,7.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,5.0,5.0,Arsenal,2,0.086,3,0.132,2,0.043,2,0.091,3,0.053,3,0.116,3,0.081,2,0.093
D,David Luiz,5.5,5.5,Arsenal,74,3.25,72,3.23,71,1.454,66,3.089,65,1.07,64,2.532,56,1.504,57,2.729
M,Aubameyang,12.0,12.0,Arsenal,82,5.735,78,5.506,77,3.445,77,5.073,78,3.413,74,4.608,76,3.668,74,5.575
D,Cédric,5.0,5.0,Arsenal,15,0.686,19,0.882,19,0.428,20,0.973,22,0.405,21,0.864,22,0.628,20,0.978
F,Lacazette,8.5,8.5,Arsenal,63,4.325,60,4.161,63,2.856,60,3.818,60,2.71,58,3.557,61,2.977,59,4.338
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,28,0.756,40,1.935
G,Leno,5.0,5.0,Arsenal,80,3.642,76,3.498,79,2.92,79,3.793,75,2.72,79,3.476,79,3.073,77,3.643
M,Xhaka,5.5,5.5,Arsenal,82,2.609,79,2.604,79,1.976,79,2.574,76,1.877,75,2.305,78,2.054,74,2.554
D,Marí,4.5,4.5,Arsenal,0,0,0,0,19,0.372,27,1.168,38,0.581,38,1.38,33,0.83,30,1.296
D,Bellerín,5.0,5.0,Arsenal,72,3.33,68,3.219,66,1.47,68,3.322,64,1.163,64,2.665,64,1.823,64,3.198
G,Martínez,4.5,4.5,Arsenal,9,0.399,13,0.583,10,0.358,10,0.469,14,0.492,10,0.429,10,0.377,12,0.552
D,Chambers,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Kolasinac,5.0,5.0,Arsenal,59,2.553,60,2.657,57,1.156,55,2.557,50,0.822,55,2.144,44,1.172,47,2.221
D,Maitland-Niles,5.0,5.0,Arsenal,5,0.219,5,0.223,7,0.158,4,0.185,8,0.149,6,0.239,5,0.141,8,0.378
D,Holding,4.5,4.5,Arsenal,43,1.792,46,1.953,39,0.795,40,1.799,34,0.56,37,1.401,35,0.921,28,1.26
D,Tierney,5.5,5.5,Arsenal,75,3.64,75,3.642,73,1.671,74,3.771,70,1.309,69,2.981,71,2.085,67,3.469
M,Pépé,8.0,8.0,Arsenal,56,3.422,58,3.567,55,2.272,55,3.196,55,2.23,55,3.004,52,2.308,54,3.518
M,Torreira,5.0,5.0,Arsenal,52,1.966,52,2.004,53,1.561,51,1.936,49,1.425,49,1.745,52,1.603,51,2.045
M,Willock,5.0,5.0,Arsenal,30,1.65,31,1.652,30,1.19,27,1.375,29,1.098,32,1.569,31,1.252,33,1.931
M,Nelson,5.5,5.5,Arsenal,6,0.348,6,0.347,9,0.372,9,0.489,10,0.407,10,0.52,9,0.39,11,0.667
F,Nketiah,6.0,6.0,Arsenal,23,1.476,26,1.652,22,1.007,25,1.475,26,1.168,26,1.487,23,1.102,26,1.728
M,Smith Rowe,4.5,4.5,Arsenal,0,0,1,0.043,2,0.07,3,0.125,3,0.104,2,0.08,3,0.108,3,0.133
M,Saka,5.5,5.5,Arsenal,34,1.355,38,1.533,36,1.148,40,1.58,36,1.129,39,1.485,39,1.299,38,1.59
M,Guendouzi,5.0,5.0,Arsenal,18,0.639,17,0.62,15,0.448,18,0.648,21,0.611,19,0.649,17,0.522,18,0.678
M,Martinelli,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Saliba,4.5,4.5,Arsenal,64,2.805,58,2.562,56,1.216,55,2.561,55,0.972,53,2.099,46,1.283,46,2.154
G,Heaton,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,44,1.614,62,2.483,87,3.458,86,3.075
D,El Mohamady,4.5,4.5,Aston Villa,0,0,41,1.716,49,1.987,46,0.858,43,1.221,43,1.64,45,1.688,47,1.171
M,Lansbury,4.5,4.5,Aston Villa,0,0,5,0.18,5,0.185,6,0.19,7,0.233,8,0.29,7,0.253,9,0.295
D,Taylor,4.5,4.5,Aston Villa,0,0,18,0.628,20,0.66,21,0.331,24,0.577,23,0.728,25,0.788,21,0.445
G,Steer,4.0,4.0,Aston Villa,0,0,45,1.887,44,1.79,46,1.618,21,0.772,13,0.521,1,0.04,1,0.036
M,Hourihane,6.0,6.0,Aston Villa,0,0,58,2.192,55,2.187,59,1.85,56,1.924,54,2.085,56,2.124,54,1.804
M,Jota,6.0,6.0,Aston Villa,0,0,17,0.724,18,0.797,16,0.577,20,0.773,20,0.862,21,0.894,21,0.792
G,Nyland,4.0,4.0,Aston Villa,0,0,44,1.858,45,1.849,43,1.524,23,0.852,13,0.525,0,0,2,0.072
D,Engels,4.5,4.5,Aston Villa,0,0,25,0.917,26,0.922,23,0.381,25,0.63,26,0.868,28,0.929,30,0.665
M,Grealish,7.0,7.0,Aston Villa,0,0,82,4.025,80,4.229,80,2.978,77,3.25,77,3.962,77,3.896,73,2.972
M,McGinn,5.5,5.5,Aston Villa,0,0,76,2.769,74,2.769,73,2.217,73,2.412,73,2.695,71,2.59,70,2.271
D,Hause,4.5,4.5,Aston Villa,0,0,44,1.614,42,1.492,44,0.725,42,1.061,46,1.537,40,1.332,42,0.935
M,Trézéguet,5.5,5.5,Aston Villa,0,0,56,2.695,54,2.744,54,2.053,58,2.424,55,2.725,54,2.63,53,2.165
D,Mings,5.0,5.0,Aston Villa,0,0,77,2.798,76,2.652,77,1.168,75,1.815,75,2.456,73,2.376,74,1.561
D,Targett,4.5,4.5,Aston Villa,0,0,77,2.979,76,2.854,72,1.221,73,1.915,72,2.537,70,2.448,74,1.706
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,1,0.025,0,0,1,0.033,1,0.023
M,Nakamba,4.5,4.5,Aston Villa,0,0,29,0.93,32,1.03,32,0.902,34,1.004,33,1.053,35,1.102,38,1.09
M,El Ghazi,6.0,6.0,Aston Villa,0,0,39,2.161,42,2.481,39,1.679,38,1.821,40,2.303,42,2.364,43,1.987
D,Konsa,4.5,4.5,Aston Villa,0,0,53,1.93,52,1.828,56,0.882,55,1.354,53,1.752,55,1.805,55,1.185
D,Guilbert,4.5,4.5,Aston Villa,0,0,29,1.001,24,0.793,23,0.341,27,0.628,28,0.876,29,0.902,23,0.468
F,Wesley,6.0,6.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Samatta,6.0,6.0,Aston Villa,0,0,52,2.19,53,2.349,54,1.919,53,2.021,49,2.161,49,2.125,49,1.852
F,Davis,4.5,4.5,Aston Villa,0,0,31,1.45,31,1.537,33,1.293,30,1.27,33,1.599,32,1.523,34,1.395
F,Vassilev,4.5,4.5,Aston Villa,0,0,2,0.084,2,0.088,3,0.113,3,0.119,5,0.216,4,0.171,4,0.156
M,Douglas Luiz,5.0,5.0,Aston Villa,0,0,79,2.648,77,2.659,78,2.159,75,2.272,75,2.548,74,2.494,74,2.189
F,Murray,5.0,5.0,Brighton,19,0.916,19,1.051,20,0.947,23,1.176,22,1.194,19,1.183,23,1.075,21,1.244
M,Lallana,6.5,6.5,Brighton,42,1.547,43,1.773,41,1.501,38,1.48,40,1.645,40,1.817,41,1.503,40,1.786
M,Stephens,4.5,4.5,Brighton,73,1.952,71,2.129,70,1.907,69,1.981,66,2.004,70,2.197,65,1.786,69,2.178
G,Button,4.0,4.0,Brighton,0,0,0,0,1,0.038,2,0.081,2,0.088,3,0.131,2,0.076,2,0.091
M,Groß,6.0,6.0,Brighton,28,1.209,26,1.304,28,1.202,26,1.215,30,1.498,29,1.646,31,1.336,30,1.616
D,Duffy,4.5,4.5,Brighton,2,0.055,2,0.083,5,0.143,2,0.07,3,0.126,5,0.224,5,0.142,6,0.278
