ID,Player Name,Position,Team Name,Value
1,Özil,MID,Arsenal,7.0
2,Sokratis,DEF,Arsenal,5.0
3,David Luiz,DEF,Arsenal,5.5
4,Aubameyang,MID,Arsenal,12.0
5,Cédric,DEF,Arsenal,5.0
6,Lacazette,FWD,Arsenal,8.5
7,Mustafi,DEF,Arsenal,5.0
8,Leno,GK,Arsenal,5.0
9,Xhaka,MID,Arsenal,5.5
10,Marí,DEF,Arsenal,4.5
11,Bellerín,DEF,Arsenal,5.0
12,Martínez,GK,Arsenal,4.5
13,Chambers,DEF,Arsenal,4.5
14,Kolasinac,DEF,Arsenal,5.0
15,Maitland-Niles,DEF,Arsenal,5.0
16,Holding,DEF,Arsenal,4.5
17,Tierney,DEF,Arsenal,5.5
18,Pépé,MID,Arsenal,8.0
19,Torreira,MID,Arsenal,5.0
20,Willock,MID,Arsenal,5.0
21,Nelson,MID,Arsenal,5.5
22,Nketiah,FWD,Arsenal,6.0
23,Smith Rowe,MID,Arsenal,4.5
24,Saka,MID,Arsenal,5.5
25,Guendouzi,MID,Arsenal,5.0
26,Martinelli,MID,Arsenal,5.0
27,Saliba,DEF,Arsenal,4.5
478,Willian,MID,Arsenal,8.0
494,Gabriel,DEF,Arsenal,5.0
501,Ceballos,MID,Arsenal,5.0
28,Heaton,GK,Aston Villa,4.5
29,El Mohamady,DEF,Aston Villa,4.5
30,Lansbury,MID,Aston Villa,4.5
31,Taylor,DEF,Aston Villa,4.5
32,Steer,GK,Aston Villa,4.0
33,Hourihane,MID,Aston Villa,6.0
34,Jota,MID,Aston Villa,6.0
35,Nyland,GK,Aston Villa,4.0
36,Engels,DEF,Aston Villa,4.5
37,Grealish,MID,Aston Villa,7.0
38,McGinn,MID,Aston Villa,5.5
39,Hause,DEF,Aston Villa,4.5
40,Trézéguet,MID,Aston Villa,5.5
41,Mings,DEF,Aston Villa,5.0
42,Targett,DEF,Aston Villa,4.5
43,Bree,DEF,Aston Villa,4.5
44,Nakamba,MID,Aston Villa,4.5
45,El Ghazi,MID,Aston Villa,6.0
46,Konsa,DEF,Aston Villa,4.5
47,Guilbert,DEF,Aston Villa,4.5
48,Wesley,FWD,Aston Villa,6.0
49,Samatta,FWD,Aston Villa,6.0
50,Davis,FWD,Aston Villa,4.5
51,Vassilev,FWD,Aston Villa,4.5
52,Douglas Luiz,MID,Aston Villa,5.0
496,Cash,DEF,Aston Villa,5.0
514,Watkins,FWD,Aston Villa,6.0
53,Murray,FWD,Brighton,5.0
54,Lallana,MID,Brighton,6.5
55,Stephens,MID,Brighton,4.5
57,Groß,MID,Brighton,6.0
58,Duffy,DEF,Brighton,4.5
59,Pröpper,MID,Brighton,5.0
60,Mooy,MID,Brighton,5.0
61,Burn,DEF,Brighton,4.5
62,Dunk,DEF,Brighton,5.0
63,Montoya,DEF,Brighton,4.5
64,Andone,FWD,Brighton,5.0
65,March,MID,Brighton,5.0
66,Webster,DEF,Brighton,4.5
67,Veltman,DEF,Brighton,4.5
68,Maupay,FWD,Brighton,6.5
69,Trossard,MID,Brighton,6.0
70,Ryan,GK,Brighton,4.5
71,Jahanbakhsh,MID,Brighton,5.5
72,Izquierdo,MID,Brighton,5.5
73,Clarke,DEF,Brighton,4.5
74,White,DEF,Brighton,4.5
75,Bernardo,DEF,Brighton,4.0
76,Bissouma,MID,Brighton,4.5
77,Lamptey,DEF,Brighton,4.5
78,Connolly,FWD,Brighton,5.5
79,Alzate,MID,Brighton,4.5
80,Mac Allister,MID,Brighton,5.5
503,Walton,GK,Brighton,4.0
81,Tarkowski,DEF,Burnley,5.5
82,Bardsley,DEF,Burnley,4.5
83,Pieters,DEF,Burnley,4.5
84,Cork,MID,Burnley,5.0
85,Long,DEF,Burnley,4.5
86,Rodriguez,FWD,Burnley,6.0
87,Barnes,FWD,Burnley,6.0
88,Mee,DEF,Burnley,5.0
89,Westwood,MID,Burnley,5.5
90,Gudmundsson,MID,Burnley,5.5
91,Wood,FWD,Burnley,6.5
92,Lowton,DEF,Burnley,4.5
93,Vydra,FWD,Burnley,5.0
94,Gibson,DEF,Burnley,4.0
95,Brady,MID,Burnley,5.0
96,Pope,GK,Burnley,5.5
97,Taylor,DEF,Burnley,4.5
98,Brownhill,MID,Burnley,5.0
99,Peacock-Farrell,GK,Burnley,4.0
100,McNeil,MID,Burnley,6.0
101,Caballero,GK,Chelsea,5.0
102,Azpilicueta,DEF,Chelsea,6.0
103,Giroud,FWD,Chelsea,7.0
104,Alonso,DEF,Chelsea,6.0
105,Jorginho,MID,Chelsea,5.0
106,Barkley,MID,Chelsea,6.0
107,Kovacic,MID,Chelsea,5.5
109,Rüdiger,DEF,Chelsea,5.0
110,Zouma,DEF,Chelsea,5.0
111,Emerson,DEF,Chelsea,5.0
112,Arrizabalaga,GK,Chelsea,5.0
