ID,Player Name,Position,Team Name,Value,total_points,minutes,points_per_minute,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
1,Özil,MID,Arsenal,7.0,53.0,1439.0,0.036831132999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Sokratis,DEF,Arsenal,5.0,57.0,1696.0,0.033608491000000004,2.0,0.087,1.0,0.043,0.0,0.0,1.0,0.045,1.0,0.017,1.0,0.037000000000000005,2.0,0.05,1.0,0.045
3,David Luiz,DEF,Arsenal,5.5,94.0,2809.0,0.033463866,37.0,1.65,54.0,2.345,71.0,1.402,68.0,3.111,68.0,1.057,67.0,2.46,63.0,1.5130000000000001,57.0,2.5860000000000003
4,Aubameyang,MID,Arsenal,12.0,237.0,3136.0,0.07557398,81.0,6.421,79.0,6.432,75.0,3.727,78.0,5.736000000000001,76.0,3.665,74.0,5.096,75.0,4.132,73.0,6.148
5,Cédric,DEF,Arsenal,5.0,61.0,1553.0,0.039278815,18.0,0.8740000000000001,18.0,0.858,17.0,0.39399999999999996,18.0,0.895,18.0,0.341,22.0,0.897,23.0,0.627,19.0,0.9420000000000001
6,Lacazette,FWD,Arsenal,8.5,118.0,1867.0,0.06320299900000001,52.0,3.4010000000000002,55.0,3.728,53.0,2.404,53.0,3.241,52.0,2.32,51.0,2.995,51.0,2.526,50.0,3.4930000000000003
7,Mustafi,DEF,Arsenal,5.0,43.0,1205.0,0.035684647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.304,19.0,0.894
8,Leno,GK,Arsenal,5.0,114.0,2649.0,0.043035107999999996,81.0,3.748,80.0,3.608,78.0,2.8280000000000003,77.0,3.674,77.0,2.759,77.0,3.2760000000000002,79.0,2.9539999999999997,76.0,3.502
9,Xhaka,MID,Arsenal,5.5,73.0,2586.0,0.028228925,80.0,2.6439999999999997,78.0,2.615,76.0,1.9240000000000002,75.0,2.495,74.0,1.844,73.0,2.242,74.0,1.969,73.0,2.525
10,Marí,DEF,Arsenal,4.5,8.0,113.0,0.0,0.0,0.0,0.0,0.0,13.0,0.259,17.0,0.742,28.0,0.43200000000000005,24.0,0.8420000000000001,24.0,0.562,27.0,1.151
11,Bellerín,DEF,Arsenal,5.0,44.0,1156.0,0.038062284,72.0,3.505,71.0,3.372,71.0,1.5919999999999999,68.0,3.37,69.0,1.254,64.0,2.592,64.0,1.724,68.0,3.373
12,Martínez,GK,Arsenal,4.5,33.0,770.0,0.0,8.0,0.371,9.0,0.40700000000000003,11.0,0.39399999999999996,11.0,0.524,12.0,0.425,12.0,0.509,10.0,0.371,13.0,0.601
13,Chambers,DEF,Arsenal,4.5,42.0,1102.0,0.038112522999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Kolasinac,DEF,Arsenal,5.0,55.0,1694.0,0.032467532,40.0,1.756,37.0,1.571,31.0,0.617,34.0,1.544,31.0,0.489,31.0,1.125,29.0,0.6970000000000001,27.0,1.2
15,Maitland-Niles,DEF,Arsenal,5.0,41.0,1382.0,0.029667149,2.0,0.094,2.0,0.09300000000000001,2.0,0.048,3.0,0.14400000000000002,2.0,0.04,4.0,0.16,3.0,0.083,2.0,0.09699999999999999
16,Holding,DEF,Arsenal,4.5,16.0,580.0,0.0,39.0,1.758,36.0,1.59,29.0,0.619,30.0,1.399,25.0,0.43200000000000005,27.0,1.02,25.0,0.636,25.0,1.15
17,Tierney,DEF,Arsenal,5.5,42.0,986.0,0.0,78.0,3.9189999999999996,77.0,3.708,72.0,1.64,69.0,3.4819999999999998,70.0,1.288,72.0,2.9530000000000003,71.0,1.935,67.0,3.3689999999999998
18,Pépé,MID,Arsenal,8.0,106.0,2004.0,0.052894212,57.0,3.4739999999999998,55.0,3.431,57.0,2.356,55.0,3.168,59.0,2.365,54.0,2.906,49.0,2.193,56.0,3.582
19,Torreira,MID,Arsenal,5.0,46.0,1501.0,0.030646236,31.0,1.216,30.0,1.19,33.0,1.012,34.0,1.3130000000000002,30.0,0.907,35.0,1.254,29.0,0.93,32.0,1.2930000000000001
20,Willock,MID,Arsenal,5.0,41.0,838.0,0.0,20.0,1.304,19.0,1.2770000000000001,21.0,0.951,23.0,1.419,22.0,0.9740000000000001,22.0,1.274,23.0,1.11,24.0,1.645
21,Nelson,MID,Arsenal,5.5,30.0,622.0,0.0,5.0,0.312,8.0,0.508,7.0,0.307,6.0,0.35,8.0,0.344,8.0,0.442,9.0,0.419,8.0,0.519
22,Nketiah,FWD,Arsenal,6.0,25.0,628.0,0.0,32.0,2.032,30.0,1.9680000000000002,32.0,1.464,31.0,1.8419999999999999,31.0,1.401,31.0,1.774,31.0,1.525,32.0,2.133
23,Smith Rowe,MID,Arsenal,4.5,4.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034,1.0,0.040999999999999995,1.0,0.034,1.0,0.039,3.0,0.107,1.0,0.042
24,Saka,MID,Arsenal,5.5,71.0,1746.0,0.040664376,36.0,1.6669999999999998,32.0,1.506,38.0,1.321,39.0,1.743,39.0,1.327,39.0,1.633,37.0,1.3559999999999999,41.0,1.964
25,Guendouzi,MID,Arsenal,5.0,48.0,1744.0,0.027522936,5.0,0.177,6.0,0.221,7.0,0.21100000000000002,7.0,0.253,8.0,0.23800000000000002,8.0,0.273,11.0,0.34,10.0,0.373
26,Martinelli,MID,Arsenal,5.0,44.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Saliba,DEF,Arsenal,4.5,0.0,0.0,0.0,40.0,1.8030000000000002,34.0,1.49,30.0,0.66,24.0,1.115,27.0,0.483,25.0,0.9470000000000001,24.0,0.626,26.0,1.185
478,Willian,MID,Arsenal,8.0,168.0,2595.0,0.064739884,35.0,2.09,38.0,2.315,38.0,1.578,36.0,2.026,34.0,1.391,39.0,2.076,43.0,1.8980000000000001,40.0,2.5
494,Gabriel,DEF,Arsenal,5.0,0.0,0.0,0.0,68.0,2.97,66.0,2.81,56.0,1.169,58.0,2.647,55.0,0.919,59.0,2.175,53.0,1.3230000000000002,51.0,2.278
